,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
243,17,"[(3, 3)]","(9, 1)",,0,3.0,6.0,1.0,1.0,0.0,-1.0,0.0
244,17,"[(4, 3)]","(9, 1)",left,6,3.0,6.0,1.0,1.0,0.0,-1.0,0.0
245,17,"[(5, 3)]","(9, 1)",,4,5.0,5.0,1.0,1.0,1.0,0.0,0.0
246,17,"[(5, 2)]","(9, 1)",right,5,4.0,4.0,1.0,1.0,1.0,0.0,0.0
247,17,"[(6, 2)]","(9, 1)",left,4,2.0,4.0,1.0,1.0,0.0,-1.0,0.0
248,17,"[(6, 3)]","(9, 1)",left,6,3.0,3.0,1.0,1.0,1.0,0.0,0.0
249,17,"[(7, 3)]","(9, 1)",right,3,3.0,6.0,1.0,1.0,0.0,1.0,0.0
250,17,"[(7, 4)]","(9, 1)",left,7,2.0,2.0,1.0,1.0,1.0,0.0,0.0
251,17,"[(6, 4)]","(9, 1)",left,4,2.0,7.0,1.0,1.0,0.0,1.0,0.0
252,17,"[(6, 5)]","(9, 1)",right,3,6.0,4.0,1.0,1.0,-1.0,0.0,0.0
253,17,"[(5, 5)]","(9, 1)",left,5,3.0,6.0,1.0,1.0,0.0,1.0,0.0
254,17,"[(4, 5)]","(9, 1)",,4,5.0,5.0,1.0,1.0,-1.0,0.0,0.0
255,17,"[(3, 5)]","(9, 1)",,5,4.0,4.0,1.0,1.0,-1.0,0.0,0.0
256,17,"[(3, 4)]","(9, 1)",left,6,3.0,3.0,1.0,1.0,-1.0,0.0,0.0
257,17,"[(3, 3)]","(9, 1)",,0,3.0,6.0,1.0,1.0,0.0,-1.0,0.0
258,17,"[(4, 3)]","(9, 1)",left,6,3.0,6.0,1.0,1.0,0.0,-1.0,0.0
259,17,"[(4, 2)]","(9, 1)",right,4,5.0,5.0,1.0,1.0,1.0,0.0,0.0
260,17,"[(4, 1)]","(9, 1)",,5,2.0,5.0,1.0,1.0,0.0,-1.0,0.0
261,17,"[(4, 0)]","(9, 1)",,5,1.0,5.0,1.0,0.0,0.0,-1.0,0.0
262,17,"[(5, 0)]","(9, 1)",left,5,0.0,5.0,1.0,-1.0,0.0,-1.0,0.0
263,17,"[(6, 0)]","(9, 1)",,5,4.0,4.0,1.0,-1.0,1.0,0.0,0.0
264,17,"[(7, 0)]","(9, 1)",,6,3.0,3.0,1.0,-1.0,1.0,0.0,0.0
265,17,"[(7, -1)]","(9, 1)",right,7,2.0,2.0,1.0,-1.0,1.0,0.0,0.0
266,death,death,death,death,death,,,,,,,
267,18,"[(6, 2)]","(7, 3)",right,2,2.0,2.0,0.0,-1.0,0.0,-1.0,0.0
